Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=DE
19947,DE,213.85,,02/28/2013,,
19701,DE,8.33,,06/03/2013,,
19713,DE,4.9,,06/20/2013,,
19711,DE,6.48,,05/31/2013,,
19713,DE,4.8,,02/03/2013,,
19711,DE,6.96,,04/02/2013,,
19807,DE,5.75,,05/21/2013,,
19968,DE,8.67,,06/14/2013,,
19808,DE,6.24,,05/17/2013,,
19973,DE,115.12,,04/13/2013,,
19706,DE,3.75,,06/11/2013,,
19810,DE,8.36,,05/16/2013,,
19947,DE,249.1,,02/28/2013,,
19930,DE,6.72,,12/06/2012,,
19713,DE,4.9,,04/13/2013,,
19709,DE,49.82,,04/16/2013,,
19709,DE,16.83,,03/26/2013,,
19702,DE,6.63,,04/15/2013,,
19901,DE,4.6,,08/27/2012,,
19713,DE,4.9,,04/23/2013,,
19946,DE,4.6,,01/28/2013,,
19966,DE,5.28,,02/19/2013,,
19706,DE,500.57,,04/24/2013,,
19958,DE,5.76,,06/29/2012,,
19958,DE,4.8,,11/09/2012,,
19966,DE,5.28,,02/25/2013,,
19973,DE,5.61,,01/18/2013,,
19711,DE,3.68,,04/30/2013,,
19720,DE,3.43,,04/26/2013,,
19904,DE,10.0,,03/25/2013,,
19971,DE,4.94,,03/11/2013,,
19963,DE,4.5,,01/30/2013,,
19966,DE,6.12,,03/08/2013,,
19709,DE,4.32,,01/30/2013,,
19711,DE,4.9,,08/10/2012,,
19938,DE,76.0,559413.0,09/20/2011,,
19702,DE,4.8,,11/01/2012,,
19709,DE,11.25,,04/15/2013,,
19808,DE,4.6,,08/29/2012,,
19943,DE,5.28,,10/24/2012,,
19701,DE,4.8,,10/22/2012,,
