Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NM
88337,NM,8.28,19959.24,11/06/2012,,
87506,NM,3.84,17990.64,11/19/2012,,
88012,NM,4.578,27262.4,08/09/2012,,
87123,NM,9.6,44842.63,11/18/2012,,
87008,NM,10.44,74273.0,11/21/2012,,
87508,NM,3.27,20003.0,11/12/2012,,
88042,NM,5.64,33023.02,06/27/2012,,
88012,NM,3.6,16208.0,10/31/2012,,
87111,NM,7.35,45591.5,03/02/2012,,
87105,NM,2.4,11252.0,10/19/2012,,
87109,NM,5.17,22021.0,10/17/2012,,
87047,NM,3.36,19531.0,10/08/2012,,
87522,NM,1.92,13260.0,11/14/2012,,
88011,NM,7.92,39183.0,11/06/2012,,
87111,NM,3.12,15270.71,09/07/2012,,
87110,NM,2.4,12245.76,10/17/2012,,
88027,NM,6.3,39629.35,02/16/2012,,
88007,NM,7.395,29710.0,11/02/2012,,
88007,NM,3.995,16145.0,11/09/2012,,
88005,NM,4.59,18292.0,10/30/2012,,
88318,NM,2.82,16634.0,05/17/2012,,
88011,NM,10.81,45257.0,05/03/2012,,
88044,NM,5.28,22268.0,10/11/2012,,
88011,NM,3.36,15929.0,06/08/2012,,
87120,NM,3.6,18921.2,11/01/2012,,
88012,NM,2.45,8752.0,08/20/2012,,
88005,NM,11.045,41181.0,08/06/2012,,
87501,NM,1.53,5365.98,08/21/2012,,
87505,NM,4.6,29280.0,08/07/2012,,
88011,NM,5.76,32522.0,10/24/2012,,
88011,NM,3.84,18051.0,08/09/2012,,
88044,NM,5.76,24858.0,09/24/2012,,
88011,NM,9.6,46905.0,04/17/2012,,
88011,NM,2.88,12979.0,07/03/2012,,
88005,NM,2.88,12740.0,11/07/2012,,
88011,NM,3.84,17150.0,10/24/2012,,
88011,NM,6.96,29269.0,06/05/2012,,
88011,NM,3.36,15984.0,09/14/2012,,
88005,NM,3.12,12979.0,06/20/2012,,
88008,NM,2.16,11100.0,07/12/2012,,
87505,NM,2.115,10803.0,07/11/2012,,
87123,NM,1.68,10449.58,10/02/2012,,
87043,NM,1.824,10426.0,03/16/2012,,
87505,NM,2.94,18049.0,07/20/2012,,
87122,NM,2.88,16966.8,11/27/2012,,
87505,NM,2.58,13094.0,11/09/2012,,
87544,NM,6.11,32406.0,10/11/2012,,
87043,NM,5.76,36321.84,11/07/2012,,
88011,NM,4.905,27048.0,11/16/2012,,
88047,NM,5.17,22974.46,05/01/2012,,
88012,NM,6.72,27896.0,10/24/2012,,
87102,NM,2.0,12217.42,09/12/2012,,
87015,NM,5.76,53522.0,11/09/2012,,
87144,NM,3.12,14476.0,09/18/2012,,
87144,NM,4.56,20836.0,11/20/2012,,
87108,NM,5.04,21778.14,10/25/2012,,
87120,NM,7.2,30692.4,09/04/2012,,
87108,NM,2.16,11276.16,10/04/2012,,
